"Date","MC.PA.Open","MC.PA.High","MC.PA.Low","MC.PA.Close","MC.PA.Volume","MC.PA.Adjusted"
2023-05-09,885.099975585938,886.599975585938,873.799987792969,880.400024414062,270905,823.713134765625
2023-05-10,878,880.700012207031,869.099975585938,872.299987792969,272477,816.134643554688
2023-05-11,873.5,890.299987792969,873.400024414062,887.599975585938,280895,830.449401855469
2023-05-12,894.5,902.900024414062,879.200012207031,885.400024414062,341785,828.391052246094
2023-05-15,888,894.299987792969,877.099975585938,881.099975585938,213429,824.368041992188
2023-05-16,877,878.200012207031,872.700012207031,876,279007,819.596374511719
2023-05-17,873.599975585938,877.5,866.400024414062,874.400024414062,237058,818.099426269531
2023-05-18,876,880,868.400024414062,872.5,270438,816.321716308594
2023-05-19,875.400024414062,881.700012207031,874.299987792969,874.299987792969,322885,818.005798339844
2023-05-22,879.099975585938,882.200012207031,877,878.200012207031,259639,821.654724121094
2023-05-23,872.799987792969,874.700012207031,834,834.200012207031,548567,780.48779296875
2023-05-24,825,825,813.5,817.099975585938,580209,764.488708496094
2023-05-25,819.799987792969,826.5,812.099975585938,823.400024414062,451526,770.383117675781
2023-05-26,827.900024414062,847.299987792969,826.5,843.5,402885,789.188903808594
2023-05-29,849,851.299987792969,839.400024414062,840,170807,785.914306640625
2023-05-30,841.700012207031,848.700012207031,835,836,350267,782.171813964844
2023-05-31,818.299987792969,828.5,807.599975585938,813.900024414062,859625,761.494934082031
2023-06-01,819.799987792969,822.599975585938,800.400024414062,805.799987792969,437556,753.916442871094
2023-06-02,816,836,814.799987792969,830.900024414062,407227,777.400329589844
2023-06-05,827.900024414062,830.799987792969,813.5,814,304374,761.58837890625
2023-06-06,815.299987792969,818.5,809.299987792969,812.299987792969,337035,759.997802734375
2023-06-07,810.200012207031,817.5,807,812.700012207031,252880,760.372131347656
2023-06-08,806.200012207031,821.799987792969,804.700012207031,818,185796,765.330871582031
2023-06-09,820.700012207031,823.299987792969,814.099975585938,820,236130,767.202026367188
2023-06-12,829.5,839.400024414062,827.900024414062,834.799987792969,262387,781.049133300781
2023-06-13,844.5,850.099975585938,834.5,841.900024414062,292795,787.692016601562
2023-06-14,845.400024414062,853.400024414062,845,850,277579,795.270446777344
2023-06-15,849.099975585938,851.700012207031,838.599975585938,843.700012207031,243104,789.376098632812
2023-06-16,848.5,872.400024414062,845.5,868.599975585938,1017309,812.672790527344
2023-06-19,863.400024414062,865.299987792969,852.200012207031,853.400024414062,240093,798.451538085938
2023-06-20,849.200012207031,854.5,843.799987792969,846,254296,791.527954101562
2023-06-21,842.400024414062,847,833.700012207031,838.299987792969,292774,784.323791503906
2023-06-22,832.900024414062,839.799987792969,823.900024414062,839.200012207031,254059,785.165893554688
2023-06-23,836.5,838.099975585938,825,830.099975585938,333101,776.651733398438
2023-06-26,837.099975585938,839.299987792969,826.900024414062,835,228317,781.236267089844
2023-06-27,839,848.299987792969,833.200012207031,839.599975585938,225272,785.5400390625
2023-06-28,843.700012207031,850.799987792969,841.099975585938,849.700012207031,233766,794.989685058594
2023-06-29,850,864.900024414062,848,855,225721,799.948547363281
2023-06-30,855.099975585938,864.700012207031,850.799987792969,863,457169,807.433410644531
2023-07-03,862.5,862.900024414062,847.700012207031,854.900024414062,213569,799.85498046875
2023-07-04,856.700012207031,863.400024414062,853.799987792969,856.700012207031,109863,801.5390625
2023-07-05,848.900024414062,854.900024414062,845.099975585938,847.5,299439,792.931335449219
2023-07-06,838,838.5,814.400024414062,816,444684,763.459594726562
2023-07-07,820,832.5,814.599975585938,825.400024414062,380704,772.254455566406
2023-07-10,821.900024414062,833.299987792969,819.700012207031,830.900024414062,219972,777.400329589844
2023-07-11,840,853,837,849.299987792969,295807,794.615478515625
2023-07-12,852.700012207031,867.799987792969,848.5,866.700012207031,323888,810.895202636719
2023-07-13,874.299987792969,884.5,869.799987792969,877.299987792969,324073,820.812561035156
2023-07-14,872.400024414062,892.700012207031,871.200012207031,892.299987792969,301762,834.846862792969
2023-07-17,865.599975585938,869.5,848.099975585938,859,358674,803.690856933594
2023-07-18,860.400024414062,869.400024414062,851,859.299987792969,226764,803.971618652344
2023-07-19,870.099975585938,871.299987792969,846.099975585938,850.400024414062,295475,795.644714355469
2023-07-20,845.5,854.799987792969,840.400024414062,854,324118,799.012878417969
2023-07-21,856.099975585938,867.900024414062,852,867.900024414062,280046,812.017944335938
2023-07-24,861,865.400024414062,847,857.599975585938,205344,802.381103515625
2023-07-25,864.400024414062,870,853.299987792969,854,262867,799.012878417969
2023-07-26,821,826.400024414062,804.5,810,751898,757.846008300781
2023-07-27,820,842.200012207031,816.900024414062,840.299987792969,486260,786.195007324219
2023-07-28,838,845,824.099975585938,841.200012207031,372986,787.037048339844
2023-07-31,840.799987792969,852,838,848.099975585938,344979,793.492736816406
2023-08-01,845,846.299987792969,828.299987792969,829,273202,775.622497558594
2023-08-02,813,828.700012207031,810.599975585938,813.5,416321,761.12060546875
2023-08-03,805,817.599975585938,804,811.200012207031,312193,758.968688964844
2023-08-04,816,818.400024414062,807.299987792969,816,251650,763.459594726562
2023-08-07,815.700012207031,823,810.5,817.400024414062,154744,764.769470214844
2023-08-08,814.200012207031,817.599975585938,803.700012207031,807.200012207031,289837,755.226196289062
2023-08-09,818,820.599975585938,806.5,807,247800,755.039123535156
2023-08-10,815.200012207031,839.400024414062,813.400024414062,834.700012207031,360999,780.95556640625
2023-08-11,825.900024414062,831.799987792969,816.799987792969,820.400024414062,225266,767.576293945312
2023-08-14,817.299987792969,823.099975585938,811.400024414062,816.200012207031,219533,763.646667480469
2023-08-15,816.099975585938,816.5,801,804.099975585938,270647,752.325805664062
2023-08-16,802.799987792969,810.599975585938,801.5,802.900024414062,224335,751.203125
2023-08-17,800,803.299987792969,780.400024414062,785.099975585938,421390,734.549194335938
2023-08-18,784,784,764.299987792969,776.900024414062,490088,726.877197265625
2023-08-21,777.200012207031,792.299987792969,774.799987792969,783.900024414062,283048,733.426513671875
2023-08-22,788.700012207031,797.700012207031,785.900024414062,790.200012207031,286404,739.320861816406
2023-08-23,792.799987792969,796.599975585938,785.799987792969,790.400024414062,218009,739.507934570312
2023-08-24,798.900024414062,803.700012207031,782.5,783.700012207031,228144,733.239318847656
2023-08-25,780,793.700012207031,779.200012207031,785.299987792969,215140,734.736328125
2023-08-28,795.299987792969,801.299987792969,787.099975585938,798.5,241609,747.08642578125
2023-08-29,803,810,795.200012207031,810,265269,757.846008300781
2023-08-30,815,815,796.400024414062,804,280091,752.232299804688
2023-08-31,805,805,782.200012207031,782.200012207031,593584,731.8359375
2023-09-01,781.5,790.200012207031,772,775.799987792969,404239,725.848022460938
2023-09-04,781,786.400024414062,771.900024414062,772.599975585938,172252,722.85400390625
2023-09-05,767,768.700012207031,755.099975585938,759.099975585938,389606,710.223266601562
2023-09-06,757.299987792969,757.5,723.599975585938,731.5,699773,684.400390625
2023-09-07,731.299987792969,737.900024414062,722.099975585938,724.099975585938,504991,677.476867675781
2023-09-08,731.299987792969,744.799987792969,723,740,489542,692.353149414062
2023-09-11,742.700012207031,747,738,742.200012207031,301258,694.411437988281
2023-09-12,749,749,731.200012207031,734.400024414062,259306,687.113647460938
2023-09-13,731,737.099975585938,726.599975585938,729.599975585938,367484,682.622741699219
2023-09-14,722,748.799987792969,720.299987792969,742.599975585938,551528,694.78564453125
2023-09-15,759.400024414062,772.400024414062,757.400024414062,761.200012207031,1180906,712.188110351562
